(-:	1	goodEmoji
(-:	1	goodEmoji
:-)	1	goodEmoji
:)	1	goodEmoji
(:	1	goodEmoji
:D	1	goodEmoji
:o)	1	goodEmoji
:]	1	goodEmoji
{:	1	goodEmoji
<:	1	goodEmoji
[:	1	goodEmoji
:3	1	goodEmoji
:c)	1	goodEmoji
:>	1	goodEmoji
=]	1	goodEmoji
="	3	negativeEmoji
=(	3	negativeEmoji
[=	1	goodEmoji
8)	1	goodEmoji
(8	1	goodEmoji
=)	1	goodEmoji
(=	1	goodEmoji
:}	1	goodEmoji
:^)	1	goodEmoji
(^:	1	goodEmoji
:-D	1	goodEmoji
8-D	1	goodEmoji
8D	1	goodEmoji
x-D	1	goodEmoji
xD	1	goodEmoji
X-D	1	goodEmoji
XD	1	goodEmoji
=-D	1	goodEmoji
=D	1	goodEmoji
=-3	1	goodEmoji
=3	1	goodEmoji
B^D	1	goodEmoji
:-))	1	goodEmoji
((-:	1	goodEmoji
:))	1	goodEmoji
((:	1	goodEmoji
>:[	3	negativeEmoji
:-(	3	negativeEmoji
)-:	3	negativeEmoji
:(	3	negativeEmoji
):	3	negativeEmoji
:-c	3	negativeEmoji
:c	3	negativeEmoji
:-<	3	negativeEmoji
>-:	3	negativeEmoji
:<	3	negativeEmoji
>:	3	negativeEmoji
:-[	3	negativeEmoji
]-:	3	negativeEmoji
:[	3	negativeEmoji
]:	3	negativeEmoji
:{	3	negativeEmoji
}:	3	negativeEmoji
;(	3	negativeEmoji
);	3	negativeEmoji
:-||	2	neutralEmoji
||-:	2	neutralEmoji
:@	3	negativeEmoji
@:	3	negativeEmoji
>:(	3	negativeEmoji
):<	3	negativeEmoji
:'-(	3	negativeEmoji
:'(	3	negativeEmoji
)':	3	negativeEmoji
:'-)	2	neutralEmoji
:')	2	neutralEmoji
(':	2	neutralEmoji
D:<	3	negativeEmoji
D:	2	neutralEmoji
D8	3	negativeEmoji
D;	3	negativeEmoji
D=	3	negativeEmoji
v.v	2	neutralEmoji
D-':	3	negativeEmoji
>:O	2	neutralEmoji
0:<	2	neutralEmoji
:-O	2	neutralEmoji
0-:	2	neutralEmoji
:O	2	neutralEmoji
0:	2	neutralEmoji
:-o	2	neutralEmoji
o-:	2	neutralEmoji
:o	2	neutralEmoji
o:	2	neutralEmoji
8-0	2	neutralEmoji
0-8	2	neutralEmoji
O_O	2	neutralEmoji
o-o	2	neutralEmoji
O_o	2	neutralEmoji
o_O	2	neutralEmoji
o_o	2	neutralEmoji
O-O	2	neutralEmoji
:*	1	goodEmoji
*:	1	goodEmoji
:^*	1	goodEmoji
*^:	1	goodEmoji
( '}{' )	1	goodEmoji
;-)	1	goodEmoji
(-;	1	goodEmoji
;)	1	goodEmoji
(;	1	goodEmoji
*-)	1	goodEmoji
(-*	1	goodEmoji
*)	1	goodEmoji
(*	1	goodEmoji
;-]	1	goodEmoji
[-;	1	goodEmoji
;]	1	goodEmoji
[;	1	goodEmoji
;D	1	goodEmoji
;^)	1	goodEmoji
(^;	1	goodEmoji
:-,	1	goodEmoji
,-;	1	goodEmoji
>:P	1	goodEmoji
:-P	1	goodEmoji
:P	1	goodEmoji
X-P	1	goodEmoji
x-p	1	goodEmoji
xp	1	goodEmoji
XP	1	goodEmoji
:-p	1	goodEmoji
:p	1	goodEmoji
=p	1	goodEmoji
:-b	1	goodEmoji
:b	1	goodEmoji
>:\	2	neutralEmoji
\:<	2	neutralEmoji
/:<	2	neutralEmoji
>:/	2	neutralEmoji
:-/	2	neutralEmoji
/-:	2	neutralEmoji
:-.	2	neutralEmoji
.-:	2	neutralEmoji
:/	2	neutralEmoji
/:	2	neutralEmoji
:\	2	neutralEmoji
\:	2	neutralEmoji
=/	2	neutralEmoji
/=	2	neutralEmoji
=\	2	neutralEmoji
\=	2	neutralEmoji
:L	2	neutralEmoji
=L	2	neutralEmoji
:S	2	neutralEmoji
:s	2	neutralEmoji
>.<	3	negativeEmoji
:|	2	neutralEmoji
|:	2	neutralEmoji
:-|	2	neutralEmoji
|-:	2	neutralEmoji
:$	2	neutralEmoji
$:	2	neutralEmoji
:-X	2	neutralEmoji
X-:	2	neutralEmoji
:X	2	neutralEmoji
:-#	3	negativeEmoji
#-:	3	negativeEmoji
:#	3	negativeEmoji
#:	3	negativeEmoji
0:-)	1	goodEmoji
(-:0	1	goodEmoji
0:-3	1	goodEmoji
0:3	1	goodEmoji
0:-)	1	goodEmoji
(-:0	1	goodEmoji
0:)	1	goodEmoji
(:0	1	goodEmoji
0;^)	1	goodEmoji
>:)	1	goodEmoji
(:<	1	goodEmoji
>;)	1	goodEmoji
(;<	1	goodEmoji
>:-)	1	goodEmoji
}:-)	1	goodEmoji
}:)	1	goodEmoji
3:-)	1	goodEmoji
3:)	1	goodEmoji
o/\o	1	goodEmoji
^5	1	goodEmoji
>_>^	1	goodEmoji
^<_<	1	goodEmoji
&gt;_&lt;	1	goodEmoji
|;-)	1	goodEmoji
|-O	1	goodEmoji
:-J	1	goodEmoji
:-&	2	neutralEmoji
:&	2	neutralEmoji
#-)	2	neutralEmoji
%-)	2	neutralEmoji
%)	2	neutralEmoji
:-###..	2	neutralEmoji
:###..	2	neutralEmoji
<:-|	2	neutralEmoji
<*)))-{	2	neutralEmoji
><(((*>	2	neutralEmoji
><>	2	neutralEmoji
\o/	1	goodEmoji
*\0/*	1	goodEmoji
@}-;-'---	1	goodEmoji
@>-->--	1	goodEmoji
*<|:-)	1	goodEmoji
<3	1	goodEmoji
</3	3	negativeEmoji
&lt;3	1	goodEmoji
;P	1	goodEmoji
;p	1	goodEmoji
